data,descricao,categoria,conta,tipo,valor,forma_pagamento,parcelas_total,parcela_atual,tags
2025-01-02,Salário Janeiro,Salário,Conta Corrente,receita,"3500,00",transferencia,1,1,"salario,fixed"
2025-01-03,Aluguel Janeiro,Moradia,Conta Corrente,despesa,"1200,00",transferencia,1,1,"aluguel,fixed"
2025-01-05,Supermercado,Alimentação,Cartão Crédito,despesa,"320,45",credito,1,1,"mercado,essencial"
2025-01-07,Uber,Transporte,Cartão Crédito,despesa,"28,90",credito,1,1,"uber,transporte"
2025-01-10,Internet Residencial,Assinaturas,Conta Corrente,despesa,"99,90",debito,1,1,"internet,fixed"
2025-01-12,Academia,Saúde,Cartão Crédito,despesa,"89,90",credito,1,1,"academia,fixed"
2025-01-15,Restaurante,Alimentação,Cartão Crédito,despesa,"75,60",credito,1,1,"restaurante,lazer"
2025-01-18,Spotify,Assinaturas,Cartão Crédito,despesa,"19,90",credito,1,1,"musica,recorrente"
2025-01-22,Farmácia,Saúde,Cartão Crédito,despesa,"46,80",credito,1,1,"farmacia,saude"
2025-01-25,Cinema,Lazer,Cartão Crédito,despesa,"42,00",credito,1,1,"cinema,lazer"
2025-02-01,Salário Fevereiro,Salário,Conta Corrente,receita,"3500,00",transferencia,1,1,"salario,fixed"
2025-02-03,Aluguel Fevereiro,Moradia,Conta Corrente,despesa,"1200,00",transferencia,1,1,"aluguel,fixed"
2025-02-05,Supermercado,Alimentação,Cartão Crédito,despesa,"310,10",credito,1,1,"mercado,essencial"
2025-02-08,Uber,Transporte,Cartão Crédito,despesa,"32,50",credito,1,1,"uber,transporte"
2025-02-10,Netflix,Assinaturas,Cartão Crédito,despesa,"39,90",credito,1,1,"streaming,recorrente"
2025-02-14,Delivery,Alimentação,Cartão Crédito,despesa,"68,40",credito,1,1,"delivery,lazer"
2025-02-18,Farmácia,Saúde,Cartão Crédito,despesa,"58,20",credito,1,1,"farmacia,saude"
2025-02-27,Bar,Lazer,Cartão Crédito,despesa,"55,00",credito,1,1,"bar,lazer"
2025-03-01,Salário Março,Salário,Conta Corrente,receita,"3500,00",transferencia,1,1,"salario,fixed"
2025-03-03,Aluguel Março,Moradia,Conta Corrente,despesa,"1200,00",transferencia,1,1,"aluguel,fixed"
2025-03-06,Supermercado,Alimentação,Cartão Crédito,despesa,"340,70",credito,1,1,"mercado,essencial"
2025-03-10,Compra Notebook,Eletrônicos,Cartão Crédito,despesa,"2400,00",credito,12,3,"eletronico,parcelado"
2025-03-15,Restaurante,Alimentação,Cartão Crédito,despesa,"92,30",credito,1,1,"restaurante,lazer"
2025-03-20,Spotify,Assinaturas,Cartão Crédito,despesa,"19,90",credito,1,1,"musica,recorrente"
